dpus,projection,logic_cycles,memory_cycles_cumulative,pim_ms,transfer_cycles,transfer_ms,xfer_model,validated_output
1,qkv,598532,4463442,1.7100914285714286,145375,0.060572916666666664,trace_cycle,all_dpus
1,o,208121,1563726,0.5946314285714286,52500,0.021875,trace_cycle,all_dpus
1,ffn1,387273,2917260,1.1064942857142857,98937,0.04122375,trace_cycle,all_dpus
1,ffn2,353616,2610828,1.0103314285714287,81522,0.0339675,trace_cycle,all_dpus
8,qkv,100915,1481406,0.28832857142857143,145986,0.0608275,trace_cycle,dpu0_shard
8,o,30838,623970,0.08810857142857142,73157,0.030482083333333333,trace_cycle,dpu0_shard
8,ffn1,48710,949656,0.13917142857142858,109566,0.0456525,trace_cycle,dpu0_shard
8,ffn2,57519,1118442,0.16434,128888,0.05370333333333333,trace_cycle,dpu0_shard
