projection,pimdl_host_index_calc_ms,pimdl_host_other_ms,pimdl_host_data_transfer_ms,pimdl_host_total_ms,pimdl_host_reorder_ms,pimdl_host_reorder_to_total_ratio,pimdl_pim_kernel_ms_reference,upim_logic_cycle,upim_memory_cycle,upim_logic_ms,upim_memory_ms,upim_pim_ms,upim_transfer_cycle,upim_h2d_cycle,upim_d2h_cycle,upim_transfer_ms,upim_h2d_ms,upim_d2h_ms,upim_h2d_bytes,upim_d2h_bytes,host_vs_upim_ratio
qkv,0.3417333333333338,0.47846666666666704,1.5637333333333336,2.3839333333333346,,,77.76500000000001,1162163,6972978,3.320465714285714,2.9054075,3.320465714285714,654780,216729,438051,0.272825,0.09030375,0.18252125,458752,196608,0.717951497910936
o,0.2755333333333331,0.706533333333333,0.4728666666666664,1.4549333333333325,,,19.029266666666633,187246,1123476,0.5349885714285715,0.468115,0.5349885714285715,238901,92884,146017,0.09954208333333334,0.03870166666666667,0.06084041666666667,196608,65536,2.719559652364624
ffn1,0.25213333333333304,0.4217333333333336,0.993333333333334,1.6672000000000007,,,38.34606666666665,354829,2128974,1.0137971428571428,0.8870725,1.0137971428571428,446840,154806,292034,0.18618333333333334,0.0645025,0.12168083333333334,327680,131072,1.6445104543315239
ffn2,0.4466666666666668,0.5892,0.6172666666666662,1.653133333333333,,,36.142666666666706,353923,2123538,1.0112085714285715,0.8848075,1.0112085714285715,331785,185768,146017,0.13824375,0.07740333333333334,0.06084041666666667,393216,65536,1.634809454787246
TOTAL,,,,7.1592,,,,,,,,5.88046,,,,0.6967941666666666,,,,,1.2174557772691252
