dpus,host_ms,attention_ms,qkv_to_attention_reorder_ms,o_reorder_ms,ffn1_reorder_ms,ffn2_reorder_ms,reorder_ms,other_host_ms,reorder_percent
1,0.997000,0.066000,0.005000,0.003000,0.004000,0.003000,0.015000,0.916000,1.504514
8,1.035000,0.066000,0.010000,0.008000,0.008500,0.008000,0.034500,0.934500,3.333333
