projection,pimdl_host_index_calc_ms,pimdl_host_other_ms,pimdl_host_data_transfer_ms,pimdl_host_total_ms,pimdl_host_reorder_ms,pimdl_host_reorder_to_total_ratio,pimdl_pim_kernel_ms_reference,upim_logic_cycle,upim_memory_cycle,upim_logic_ms,upim_memory_ms,upim_pim_ms,upim_transfer_cycle,upim_h2d_cycle,upim_d2h_cycle,upim_transfer_ms,upim_h2d_ms,upim_d2h_ms,upim_h2d_bytes,upim_d2h_bytes,host_vs_upim_ratio
qkv,0.3417333333333338,0.47846666666666704,1.5637333333333336,2.3839333333333346,,,77.76500000000001,1161802,10018752,3.319434285714286,4.17448,4.17448,507990,369494,138496,0.2116625,0.15395583333333332,0.05770666666666667,229376,98304,0.5710731236784784
o,0.2755333333333331,0.706533333333333,0.4728666666666664,1.4549333333333325,,,19.029266666666633,186698,2876616,0.5334228571428571,1.19859,1.19859,292738,219622,73116,0.12197416666666666,0.09150916666666667,0.030465,98304,32768,1.21387074256696
ffn1,0.25213333333333304,0.4217333333333336,0.993333333333334,1.6672000000000007,,,38.34606666666665,353616,5180268,1.0103314285714287,2.158445,2.158445,509762,363829,145933,0.21240083333333334,0.15159541666666668,0.06080541666666667,163840,65536,0.772407914030703
ffn2,0.4466666666666668,0.5892,0.6172666666666662,1.653133333333333,,,36.142666666666706,350993,5164536,1.0028371428571428,2.15189,2.15189,509763,436647,73116,0.21240125,0.18193625,0.030465,196608,32768,0.7682239023989762
TOTAL,,,,7.1592,,,,,,,,9.683405,,,,0.75843875,,,,,0.739326714105214
