projection,pimdl_host_index_calc_ms,pimdl_host_other_ms,pimdl_host_data_transfer_ms,pimdl_host_total_ms,pimdl_host_reorder_ms,pimdl_host_reorder_to_total_ratio,pimdl_pim_kernel_ms_reference,upim_logic_cycle,upim_memory_cycle,upim_logic_ms,upim_memory_ms,upim_pim_ms,upim_transfer_cycle,upim_h2d_cycle,upim_d2h_cycle,upim_transfer_ms,upim_h2d_ms,upim_d2h_ms,upim_h2d_bytes,upim_d2h_bytes,host_vs_upim_ratio
qkv,0.3417333333333338,0.47846666666666704,1.5637333333333336,2.3839333333333346,,,77.76500000000001,1161802,7668918,3.319434285714286,3.1953825,3.319434285714286,116351,81455,34896,0.04847958333333333,0.033939583333333335,0.01454,28672,12288,0.7181745828176118
o,0.2755333333333331,0.706533333333333,0.4728666666666664,1.4549333333333325,,,19.029266666666633,186698,1400358,0.5334228571428571,0.5834825,0.5834825,46695,35018,11677,0.01945625,0.014590833333333334,0.004865416666666666,12288,4096,2.493533796357787
ffn1,0.25213333333333304,0.4217333333333336,0.993333333333334,1.6672000000000007,,,38.34606666666665,353616,2610828,1.0103314285714287,1.087845,1.087845,81522,58236,23286,0.0339675,0.024265,0.0097025,20480,8192,1.532571276238803
ffn2,0.4466666666666668,0.5892,0.6172666666666662,1.653133333333333,,,36.142666666666706,350993,2595096,1.0028371428571428,1.08129,1.08129,81523,69846,11677,0.03396791666666667,0.0291025,0.004865416666666666,24576,4096,1.528852882513787
TOTAL,,,,7.1592,,,,,,,,6.072051785714286,,,,0.13587125,,,,,1.1790413278166447
